symbol,asset_class,report_week_ts,release_ts,entry_week_open_ts,entry_ts,exit_ts,direction,at_extreme,cot_index,net_change,net_change_sigma,limit_px,week_open_px,gap_pct,filled_at_open,entry_px,stop_px,exit_px,exit_reason,ret_pct,r_multiple,year,bars_held
6A,FX,1458518400,1458950400,1459116000,1459116000,1459720800,1,False,59.0,5248,0.502,0.7502,0.7489,-0.1733,True,0.749,0.74151,0.765,TIME,2.136181575433914,2.136181575433914,2016,30
6E,FX,1458518400,1458950400,1459116000,1459116000,1459720800,1,False,53.68,11502,0.726,1.1199,1.1186,-0.1161,True,1.1187,1.107513,1.1419,TIME,2.073835702154276,2.073835702154276,2016,30
6A,FX,1459123200,1459555200,1459720800,1459720800,1459778400,1,False,64.83,5436,0.519,0.7658,0.7651,-0.0914,True,0.7652,0.757548,0.757448,STOP,-1.0130684788290618,-1.0130684788290618,2016,5
6E,FX,1459728000,1460160000,1460325600,1460325600,1460541600,1,False,57.89,10324,0.654,1.1418,1.143,0.1051,False,1.1419,1.1304809999999998,1.1303809999999999,STOP,-1.008757334267454,-1.008757334267454,2016,16
6A,FX,1460332800,1460764800,1460930400,1460973600,1461045600,-1,True,88.94,8277,0.809,0.7702,0.7648,-0.7011,False,0.7701,0.777801,0.777901,STOP,-1.0129853265809567,-1.0129853265809565,2016,6
6A,FX,1460937600,1461369600,1461535200,1461535200,1462140000,-1,True,96.08,8984,0.877,0.7694,0.7692,-0.026,False,0.7693,0.776993,0.7594,TIME,1.2868841804237645,1.2868841804237643,2016,30
6A,FX,1461542400,1461974400,1462140000,1462140000,1462226400,-1,True,100.0,15434,1.484,0.7595,0.7593,-0.0263,False,0.7594,0.766994,0.7670939999999999,STOP,-1.013168290755857,-1.013168290755857,2016,7
6A,FX,1462147200,1462579200,1462744800,1462744800,1463090400,1,True,94.76,-7145,0.731,0.7356,0.7354,-0.0272,True,0.7355,0.728145,0.728045,STOP,-1.01359619306594,-1.01359619306594,2016,25
6E,FX,1462147200,1462579200,1462744800,1462744800,1463148000,1,False,67.87,16048,1.019,1.14135,1.141,-0.0307,True,1.1411,1.129689,1.129589,STOP,-1.008763473841035,-1.0087634738410347,2016,29
6A,FX,1462752000,1463184000,1463349600,1463349600,1463652000,1,True,84.32,-14237,1.425,0.7258,0.7246,-0.1653,True,0.7247,0.717453,0.717353,STOP,-1.013798813302055,-1.013798813302055,2016,22
6A,FX,1463356800,1463788800,1463954400,1463954400,1464559200,-1,False,74.6,-13265,1.304,0.7218,0.7221,0.0416,True,0.722,0.72922,0.7178,TIME,0.5817174515235433,0.5817174515235431,2016,30
6A,FX,1463961600,1464393600,1464559200,1464559200,1464688800,-1,False,56.44,-24769,2.305,0.7183,0.7177,-0.0835,False,0.7182000000000001,0.7253820000000001,0.7254820000000001,STOP,-1.013923698134226,-1.013923698134226,2016,9
6E,FX,1463961600,1464393600,1464559200,1464559200,1464948000,-1,False,63.1,-15308,0.965,1.11175,1.1118,0.0045,True,1.1117,1.122817,1.122917,STOP,-1.008995232526764,-1.008995232526764,2016,27
6A,FX,1465171200,1465603200,1465768800,1465768800,1466013600,-1,False,44.76,-11050,1.05,0.7347,0.7345,-0.0272,False,0.7346,0.741946,0.742046,STOP,-1.0136128505308948,-1.0136128505308946,2016,18
6E,FX,1465171200,1465603200,1465768800,1465768800,1466373600,-1,False,53.33,-29458,1.835,1.12885,1.1285,-0.031,False,1.12875,1.1400375,1.13545,TIME,-0.5935769656700023,-0.5935769656700023,2016,30
6E,FX,1465776000,1466208000,1466373600,1466503200,1466733600,1,False,56.88,10623,0.724,1.13115,1.13535,0.3713,False,1.13125,1.1199375,1.1198375,STOP,-1.008839779005529,-1.0088397790055288,2016,17
6A,FX,1465776000,1466208000,1466373600,1466733600,1466733600,1,False,51.38,9030,0.859,0.7365,0.74,0.4752,False,0.7366,0.729234,0.7291340000000001,STOP,-1.0135758892207403,-1.01357588922074,2016,1
6A,FX,1467590400,1468022400,1468188000,1468188000,1468792800,1,False,59.94,6855,0.657,0.7551,0.7545,-0.0795,True,0.7545999999999999,0.7470539999999999,0.7572,TIME,0.3445534057779018,0.3445534057779018,2016,30
6E,FX,1467590400,1468022400,1468188000,1468188000,1468490400,-1,False,50.58,-13393,0.908,1.1077,1.10795,0.0226,True,1.10785,1.1189285,1.1190285,STOP,-1.0090264927562378,-1.0090264927562378,2016,22
6E,FX,1468195200,1468627200,1468792800,1468792800,1469397600,-1,False,46.46,-12333,0.833,1.1058,1.10795,0.1944,True,1.10785,1.1189285,1.09965,TIME,0.7401724060116428,0.7401724060116428,2016,30
6A,FX,1468195200,1468627200,1468792800,1468879200,1468908000,1,False,68.24,11313,1.087,0.7551,0.7573,0.2914,False,0.7552,0.747648,0.747548,STOP,-1.0132415254237277,-1.0132415254237277,2016,3
6A,FX,1468800000,1469232000,1469397600,1469397600,1469570400,-1,True,80.86,17215,1.628,0.7454,0.7446,-0.1073,False,0.7453,0.752753,0.752853,STOP,-1.01341741580572,-1.01341741580572,2016,13
6E,FX,1468800000,1469232000,1469397600,1469412000,1469685600,-1,False,42.37,-12231,0.822,1.1002,1.09955,-0.0591,False,1.1001,1.1111010000000001,1.111201,STOP,-1.009090082719755,-1.009090082719755,2016,20
6E,FX,1469404800,1469836800,1470002400,1470002400,1470607200,-1,False,38.11,-12709,0.851,1.1197,1.12055,0.0759,True,1.12045,1.1316545,1.11045,TIME,0.8924985496898576,0.8924985496898575,2016,30
6E,FX,1470009600,1470441600,1470607200,1470607200,1471212000,1,False,40.96,8497,0.569,1.1108,1.11035,-0.0405,True,1.11045,1.0993454999999999,1.11835,TIME,0.7114232968616343,0.7114232968616343,2016,30
6A,FX,1471219200,1471651200,1471816800,1471860000,1472421600,-1,True,86.49,6229,0.594,0.7622,0.7602,-0.2624,False,0.7621,0.769721,0.7552,TIME,0.9053929930455343,0.9053929930455343,2016,27
6E,FX,1471824000,1472256000,1472421600,1472421600,1473026400,1,False,50.14,15850,1.107,1.12035,1.11965,-0.0625,True,1.11975,1.1085525,1.1158,TIME,-0.3527573118999884,-0.3527573118999884,2016,30
6E,FX,1473033600,1473465600,1473631200,1473631200,1474236000,-1,False,44.79,-10705,0.749,1.1238,1.12375,-0.0044,False,1.1237,1.1349369999999999,1.11965,TIME,0.36041648126723214,0.36041648126723214,2016,30
6E,FX,1473638400,1474070400,1474236000,1474236000,1474840800,1,False,48.52,11155,0.776,1.11985,1.11955,-0.0268,True,1.11965,1.1084535,1.1265,TIME,0.6117983298352183,0.6117983298352183,2016,30
6A,FX,1474243200,1474675200,1474840800,1474840800,1475100000,-1,False,61.37,-29619,2.725,0.7605,0.7601,-0.0526,False,0.7604,0.768004,0.768104,STOP,-1.0131509731720205,-1.0131509731720205,2016,19
6A,FX,1474848000,1475280000,1475445600,1475445600,1475733600,1,False,67.35,8160,0.748,0.7649,0.765,0.0131,False,0.765,0.75735,0.75725,STOP,-1.0130718954248412,-1.0130718954248412,2016,21
6E,FX,1474848000,1475280000,1475445600,1475445600,1475791200,1,False,50.35,8995,0.625,1.128,1.12765,-0.031,True,1.12775,1.1164725,1.1163725,STOP,-1.008867213478168,-1.008867213478168,2016,25
6A,FX,1475452800,1475884800,1476050400,1476079200,1476338400,1,False,73.9,8930,0.818,0.7574,0.7584,0.132,False,0.7575,0.749925,0.749825,STOP,-1.0132013201320116,-1.0132013201320116,2016,19
6E,FX,1476057600,1476489600,1476655200,1476655200,1477260000,-1,False,44.51,-11413,0.789,1.09985,1.09985,0.0,True,1.09975,1.1107475,1.0904,TIME,0.8501932257331184,0.8501932257331184,2016,30
6E,FX,1476662400,1477094400,1477260000,1477260000,1477864800,-1,False,39.47,-15796,1.098,1.0907,1.0903,-0.0367,False,1.0906,1.101506,1.1004,TIME,-0.8985879332477563,-0.8985879332477563,2016,30
6E,FX,1477267200,1477699200,1477864800,1477864800,1478066400,-1,False,36.74,-14588,1.103,1.1007,1.1003,-0.0363,False,1.1006,1.111606,1.111706,STOP,-1.0090859531164873,-1.0090859531164873,2016,15
6A,FX,1477872000,1478304000,1478473200,1478473200,1478631600,-1,True,86.31,8944,0.82,0.7665,0.7663,-0.0261,False,0.7664,0.774064,0.774164,STOP,-1.0130480167014606,-1.0130480167014606,2016,12
6E,FX,1477872000,1478304000,1478473200,1478646000,1478660400,-1,False,31.9,-13529,1.06,1.11585,1.11095,-0.4391,False,1.11575,1.1269075,1.1270075,STOP,-1.0089625812233851,-1.0089625812233851,2016,2
6E,FX,1478476800,1478908800,1479078000,1479078000,1479106800,1,False,34.79,8071,0.633,1.0866,1.085,-0.1472,True,1.0851,1.074249,1.074149,STOP,-1.009215740484742,-1.009215740484742,2016,3
6E,FX,1479081600,1479513600,1479682800,1479682800,1480287600,1,False,38.41,10132,0.813,1.0601,1.05985,-0.0236,True,1.05995,1.0493504999999999,1.06075,TIME,0.07547525826691202,0.07547525826691202,2016,28
6A,FX,1479686400,1480118400,1480287600,1480287600,1480892400,-1,False,78.86,-10813,1.025,0.7429,0.7433,0.0538,True,0.7432,0.750632,0.7422,TIME,0.13455328310010775,0.13455328310010775,2016,30
6A,FX,1480291200,1480723200,1480892400,1480935600,1481497200,-1,False,71.71,-9748,0.92,0.7456,0.7421,-0.4694,False,0.7455,0.752955,0.7438,TIME,0.22803487592220453,0.2280348759222045,2016,27
6A,FX,1481500800,1481932800,1482102000,1482102000,1482793200,-1,False,66.22,-7398,0.736,0.7286,0.7266,-0.2745,False,0.7285,0.735785,0.7171,TIME,1.5648592999313764,1.5648592999313762,2016,30
6E,FX,1481500800,1481932800,1482102000,1482102000,1482793200,1,False,49.74,27043,2.138,1.04925,1.0493,0.0048,False,1.04935,1.0388565,1.04975,TIME,0.038118835469572204,0.038118835469572204,2016,30
6A,FX,1482105600,1482537600,1482793200,1482793200,1483398000,-1,False,59.24,-9532,0.95,0.7164,0.717,0.0838,True,0.7169,0.724069,0.7187,TIME,-0.25108104338122805,-0.25108104338122805,2016,24
6E,FX,1482105600,1482537600,1482793200,1482793200,1483398000,1,False,53.13,9468,0.746,1.0499,1.04985,-0.0048,True,1.04995,1.0394504999999998,1.04995,TIME,0.0,0.0,2016,24
6A,FX,1482710400,1483142400,1483398000,1483398000,1483513200,-1,False,55.24,-5451,0.542,0.7185,0.7186,0.0139,True,0.7185,0.725685,0.725785,STOP,-1.0139178844815568,-1.0139178844815568,2017,9
6E,FX,1482710400,1483142400,1483398000,1483398000,1483455600,1,False,56.22,8637,0.679,1.0549,1.05005,-0.4598,True,1.05015,1.0396485,1.0395485,STOP,-1.009522449173921,-1.009522449173921,2017,5
6A,FX,1484524800,1484956800,1485126000,1485126000,1485730800,1,False,59.9,8693,0.884,0.755,0.7552,0.0265,False,0.7551,0.747549,0.7549,TIME,-0.02648655807177566,-0.02648655807177566,2017,30
6A,FX,1485129600,1485561600,1485730800,1485759600,1486335600,1,False,63.89,5449,0.553,0.7536,0.755,0.1858,False,0.7537,0.746163,0.7671,TIME,1.777895714475251,1.777895714475251,2017,28
6E,FX,1485129600,1485561600,1485730800,1485759600,1486335600,1,False,62.32,14152,1.12,1.07155,1.0729,0.126,False,1.07165,1.0609335,1.0797,TIME,0.7511780898614391,0.7511780898614391,2017,28
6E,FX,1485734400,1486166400,1486335600,1486335600,1486450800,1,False,64.69,6635,0.581,1.07975,1.0798,0.0046,False,1.07985,1.0690515,1.0689515,STOP,-1.0092605454461197,-1.0092605454461194,2017,9
6A,FX,1486944000,1487376000,1487545200,1487545200,1488150000,1,False,74.1,7470,0.794,0.7657,0.767,0.1698,False,0.7658,0.758142,0.7672,TIME,0.18281535648993952,0.18281535648993952,2017,29
6A,FX,1487548800,1487980800,1488150000,1488150000,1488754800,-1,True,80.92,9304,0.984,0.767,0.7673,0.0391,True,0.7672,0.774872,0.7587,TIME,1.1079249217935287,1.1079249217935287,2017,30
6E,FX,1487548800,1487980800,1488150000,1488150000,1488754800,-1,False,60.21,-11487,1.057,1.05675,1.0565,-0.0237,False,1.05665,1.0672165,1.06155,TIME,-0.4637297118250986,-0.46372971182509853,2017,30
6E,FX,1488153600,1488585600,1488754800,1488754800,1489356000,1,False,62.74,7087,0.676,1.06275,1.06145,-0.1223,True,1.06155,1.0509344999999999,1.0732,TIME,1.0974518392915962,1.0974518392915962,2017,30
6A,FX,1488153600,1488585600,1488754800,1488783600,1489356000,-1,True,94.41,18393,1.89,0.7597,0.7586,-0.1448,False,0.7596,0.7671960000000001,0.7534,TIME,0.8162190626645727,0.8162190626645727,2017,28
6E,FX,1488758400,1489190400,1489356000,1489356000,1489960800,-1,False,59.76,-8337,0.791,1.0725,1.0733,0.0746,True,1.0732,1.083932,1.079,TIME,-0.5404398061871066,-0.5404398061871066,2017,30
6A,FX,1489363200,1489795200,1489960800,1489960800,1490292000,1,True,88.07,-7713,0.824,0.7692,0.7687,-0.065,True,0.7688,0.761112,0.761012,STOP,-1.0130072840790865,-1.0130072840790865,2017,24
6E,FX,1489363200,1489795200,1489960800,1489960800,1490565600,1,False,69.7,18474,1.71,1.0789,1.0789,0.0,True,1.079,1.0682099999999999,1.08715,TIME,0.755329008341066,0.755329008341066,2017,30
6E,FX,1489968000,1490400000,1490565600,1490724000,1490882400,1,False,79.64,21365,1.929,1.08425,1.08725,0.2767,False,1.08435,1.0735065,1.0734065,STOP,-1.0092221146308846,-1.0092221146308846,2017,12
6A,FX,1490572800,1491004800,1491170400,1491170400,1491775200,-1,True,95.31,8183,0.873,0.7618,0.7624,0.0788,True,0.7623,0.769923,0.7491,TIME,1.7316017316017303,1.7316017316017303,2017,30
6E,FX,1490572800,1491004800,1491170400,1491170400,1491775200,-1,True,84.38,11739,1.05,1.06935,1.06985,0.0468,True,1.06975,1.0804475,1.0616,TIME,0.761860247721419,0.761860247721419,2017,30
6E,FX,1491782400,1492214400,1492380000,1492380000,1492984800,1,True,80.12,-7551,0.676,1.06435,1.0641,-0.0235,True,1.0642,1.053558,1.0892,TIME,2.3491824844953872,2.3491824844953872,2017,30
6E,FX,1493596800,1494028800,1494194400,1494194400,1494799200,-1,True,100.0,19242,1.714,1.10235,1.10355,0.1089,True,1.10345,1.1144845,1.0951,TIME,0.7567175676288077,0.7567175676288077,2017,30
6A,FX,1494201600,1494633600,1494799200,1494799200,1495072800,-1,False,75.25,-16891,1.868,0.7384,0.7387,0.0406,True,0.7386,0.745986,0.746086,STOP,-1.0135391280801507,-1.0135391280801505,2017,20
