instrument,ts,side,fcode,r,bars,reason,klass
GBPUSD,2013-07-23 00:00:00+00:00,short,4,-1.0122820920621347,14,SL,fx_major
CL,2013-07-23 00:00:00+00:00,long,1,-1.0039045871559633,2,SL,commodities
USDCAD,2013-07-23 00:00:00+00:00,long,1,2.4893507305344924,111,TP,fx_major
CADJPY,2013-07-24 00:00:00+00:00,short,4,2.4922201366353542,12,TP,fx_cross
CL,2013-07-26 00:00:00+00:00,long,1,2.4963911496746203,27,TP,commodities
AUDCHF,2013-07-26 00:00:00+00:00,short,3,2.4884935572228177,4,TP,fx_cross
NZDUSD,2013-07-30 00:00:00+00:00,long,1,-1.0083976915870339,2,SL,fx_major
EURUSD,2013-07-31 00:00:00+00:00,short,3,-1.0176947790022512,17,SL,fx_major
USDCHF,2013-08-01 00:00:00+00:00,short,4,-1.0153521630737645,30,SL,fx_major
EURJPY,2013-08-02 00:00:00+00:00,short,3,2.4760909397278033,3,TP,fx_cross
AUDNZD,2013-08-04 00:00:00+00:00,short,4,-1.0315414802065401,0,SAME_BAR_SL,fx_cross
EURGBP,2013-08-05 00:00:00+00:00,long,2,-1.016384641407307,7,SL,fx_cross
USDJPY,2013-08-05 00:00:00+00:00,long,2,-1.0156615165741925,1,SL,fx_major
EURNZD,2013-08-07 00:00:00+00:00,long,1,-1.0128788062164764,4,SL,fx_cross
ES,2013-08-07 00:00:00+00:00,long,1,-1.0085803174603174,7,SL,indices
CADCHF,2013-08-08 00:00:00+00:00,short,4,-1.0151541764080767,3,SL,fx_cross
NZDCHF,2013-08-08 00:00:00+00:00,short,4,-1.0180457616761236,3,SL,fx_cross
GBPAUD,2013-08-09 00:00:00+00:00,long,1,2.482534725983237,9,TP,fx_cross
EURCAD,2013-08-15 00:00:00+00:00,long,1,2.478349966063349,4,TP,fx_cross
NQ,2013-08-15 00:00:00+00:00,short,4,-1.0056756695156694,21,SL,indices
AUDCAD,2013-08-19 00:00:00+00:00,long,1,-1.012817883149873,1,SL,fx_cross
EURNZD,2013-08-20 00:00:00+00:00,short,4,-1.0177907527293624,0,SAME_BAR_SL,fx_cross
NZDUSD,2013-08-20 00:00:00+00:00,long,2,-1.018535257048093,1,SL,fx_major
AUDCHF,2013-08-20 00:00:00+00:00,long,2,-1.0061836069029113,6,SL,fx_cross
NZDCAD,2013-08-20 00:00:00+00:00,long,1,-1.014394531614106,3,SL,fx_cross
NZDCHF,2013-08-20 00:00:00+00:00,long,1,-1.017482301553969,0,SAME_BAR_SL,fx_cross
GBPCAD,2013-08-20 00:00:00+00:00,short,3,-1.0354407184693475,0,SAME_BAR_SL,fx_cross
EURUSD,2013-08-21 00:00:00+00:00,long,1,-1.0347116825249454,1,SL,fx_major
GBPCHF,2013-08-21 00:00:00+00:00,short,3,-1.01251540720136,12,SL,fx_cross
USDJPY,2013-08-22 00:00:00+00:00,short,3,-1.0108537094720345,12,SL,fx_major
YM,2013-08-22 00:00:00+00:00,short,4,-1.0063668085106383,16,SL,indices
CHFJPY,2013-08-22 00:00:00+00:00,short,3,-1.0464704199066852,0,SAME_BAR_SL,fx_cross
AUDNZD,2013-08-23 00:00:00+00:00,short,4,2.4834389056507287,22,TP,fx_cross
EURJPY,2013-08-27 00:00:00+00:00,long,1,2.490279957537155,72,TP,fx_cross
CHFJPY,2013-08-27 00:00:00+00:00,long,2,2.4903036766623208,72,TP,fx_cross
AUDCAD,2013-08-27 00:00:00+00:00,long,2,-1.014721160066927,1,SL,fx_cross
NZDCHF,2013-08-30 00:00:00+00:00,long,2,2.491225874673629,6,TP,fx_cross
CADJPY,2013-09-02 00:00:00+00:00,short,3,-1.0111878415589917,4,SL,fx_cross
AUDJPY,2013-09-02 00:00:00+00:00,short,3,-1.0170486773206386,1,SL,fx_cross
EURAUD,2013-09-03 00:00:00+00:00,long,2,-1.02292312464749,1,SL,fx_cross
EURGBP,2013-09-03 00:00:00+00:00,long,1,-1.038050112359551,1,SL,fx_cross
NZDCAD,2013-09-03 00:00:00+00:00,long,1,2.4886475240681314,10,TP,fx_cross
AUDCHF,2013-09-03 00:00:00+00:00,short,4,-1.0112355102524595,1,SL,fx_cross
AUDCHF,2013-09-05 00:00:00+00:00,short,3,-1.0115064427771823,34,SL,fx_cross
USDJPY,2013-09-06 00:00:00+00:00,long,1,-1.0098670908928413,22,SL,fx_major
EURUSD,2013-09-06 00:00:00+00:00,short,4,-1.0245824970828474,2,SL,fx_major
ES,2013-09-06 00:00:00+00:00,long,1,2.4951743707093823,10,TP,indices
EURCAD,2013-09-06 00:00:00+00:00,long,1,2.478349966063349,11,TP,fx_cross
EURNZD,2013-09-06 00:00:00+00:00,long,2,-1.0077099995844934,6,SL,fx_cross
USDCHF,2013-09-06 00:00:00+00:00,long,1,-1.0155101123595507,5,SL,fx_major
EURGBP,2013-09-10 00:00:00+00:00,short,4,2.473949669603525,18,TP,fx_cross
CADJPY,2013-09-12 00:00:00+00:00,long,1,-1.0209766484801244,11,SL,fx_cross
AUDCAD,2013-09-12 00:00:00+00:00,long,1,2.4840322175732217,19,TP,fx_cross
YM,2013-09-13 00:00:00+00:00,short,4,-1.008668783068783,1,SL,indices
AUDUSD,2013-09-15 00:00:00+00:00,short,3,-1.021583599088839,0,SAME_BAR_SL,fx_major
NZDJPY,2013-09-17 00:00:00+00:00,short,3,-1.0072014714667505,2,SL,fx_cross
NQ,2013-09-17 00:00:00+00:00,short,3,-1.0050104433497538,1,SL,indices
GBPCAD,2013-09-19 00:00:00+00:00,long,1,2.481464518727346,10,TP,fx_cross
GBPCHF,2013-09-19 00:00:00+00:00,long,1,-1.0172001512287336,12,SL,fx_cross
AUDJPY,2013-09-22 00:00:00+00:00,long,2,-1.007798628520206,5,SL,fx_cross
NZDUSD,2013-09-25 00:00:00+00:00,long,1,2.4859284596577016,18,TP,fx_major
AUDUSD,2013-09-25 00:00:00+00:00,long,1,2.482390807537012,16,TP,fx_major
GBPUSD,2013-09-26 00:00:00+00:00,long,2,-1.021619545071609,11,SL,fx_major
NZDJPY,2013-09-27 00:00:00+00:00,long,2,-1.0180911543038476,1,SL,fx_cross
NZDCAD,2013-09-27 00:00:00+00:00,short,3,-1.014550917083523,12,SL,fx_cross
GBPAUD,2013-09-27 00:00:00+00:00,short,4,-1.0144147822182308,1,SL,fx_cross
CL,2013-09-29 00:00:00+00:00,long,1,-1.0047464337700145,16,SL,commodities
EURAUD,2013-10-01 00:00:00+00:00,long,1,-1.0252059388646284,3,SL,fx_cross
GBPNZD,2013-10-02 00:00:00+00:00,short,4,2.4869608921933084,6,TP,fx_cross
YM,2013-10-03 00:00:00+00:00,long,1,-1.0060343434343435,4,SL,indices
GBPAUD,2013-10-03 00:00:00+00:00,long,1,-1.0214437759428698,1,SL,fx_cross
USDCHF,2013-10-04 00:00:00+00:00,short,4,-1.0174090384615386,4,SL,fx_major
NQ,2013-10-06 00:00:00+00:00,long,1,-1.0031298266767144,2,SL,indices
ES,2013-10-06 00:00:00+00:00,long,2,-1.0066762732919254,2,SL,indices
USDJPY,2013-10-07 00:00:00+00:00,long,2,2.4886149217354765,31,TP,fx_major
NZDCHF,2013-10-07 00:00:00+00:00,long,2,-1.0095408561371637,16,SL,fx_cross
CADJPY,2013-10-08 00:00:00+00:00,long,1,2.4840868012752386,7,TP,fx_cross
NQ,2013-10-09 00:00:00+00:00,long,1,2.4952285035629456,6,TP,indices
YM,2013-10-09 00:00:00+00:00,long,2,2.4964056097560974,15,TP,indices
AUDCAD,2013-10-09 00:00:00+00:00,short,4,-1.0153935614133482,5,SL,fx_cross
EURUSD,2013-10-09 00:00:00+00:00,long,2,2.469424836495761,7,TP,fx_major
EURAUD,2013-10-10 00:00:00+00:00,short,4,-1.014325859918018,16,SL,fx_cross
CADCHF,2013-10-10 00:00:00+00:00,long,2,-1.0179314619883042,10,SL,fx_cross
USDCHF,2013-10-11 00:00:00+00:00,long,1,-1.0176612165450123,9,SL,fx_major
EURNZD,2013-10-14 00:00:00+00:00,long,2,-1.0133715312661118,2,SL,fx_cross
GBPCAD,2013-10-15 00:00:00+00:00,short,4,-1.039294182356675,1,SL,fx_cross
GBPAUD,2013-10-16 00:00:00+00:00,short,4,-1.0179780965990284,13,SL,fx_cross
GBPUSD,2013-10-16 00:00:00+00:00,long,2,2.392961586538477,1,TP,fx_major
EURGBP,2013-10-16 00:00:00+00:00,short,3,-1.0210095567375883,6,SL,fx_cross
CADJPY,2013-10-17 00:00:00+00:00,long,1,-1.012479055191768,5,SL,fx_cross
NZDJPY,2013-10-17 00:00:00+00:00,long,1,-1.0138379453486634,5,SL,fx_cross
AUDCAD,2013-10-23 00:00:00+00:00,long,1,-1.039381723163842,0,SAME_BAR_SL,fx_cross
GBPUSD,2013-10-23 00:00:00+00:00,long,1,-1.0350995929443685,4,SL,fx_major
AUDJPY,2013-10-23 00:00:00+00:00,long,1,-1.0107902897224763,0,SAME_BAR_SL,fx_cross
CL,2013-10-23 00:00:00+00:00,long,1,-1.0087981818181817,8,SL,commodities
AUDNZD,2013-10-23 00:00:00+00:00,short,4,-1.0169068174050213,3,SL,fx_cross
AUDUSD,2013-10-23 00:00:00+00:00,long,1,-1.029997343663531,0,SAME_BAR_SL,fx_major
YM,2013-10-28 00:00:00+00:00,short,3,-1.0095344061302682,8,SL,indices
AUDUSD,2013-10-29 00:00:00+00:00,long,1,-1.013292121819777,9,SL,fx_major
USDCHF,2013-10-30 00:00:00+00:00,short,4,-1.0353814435879474,1,SL,fx_major
AUDJPY,2013-10-30 00:00:00+00:00,short,4,-1.010096228748068,17,SL,fx_cross
AUDNZD,2013-10-30 00:00:00+00:00,long,1,-1.0421292024942577,2,SL,fx_cross
EURGBP,2013-10-31 00:00:00+00:00,long,1,-1.0201576256094973,4,SL,fx_cross
EURAUD,2013-10-31 00:00:00+00:00,long,1,-1.0117016725901211,2,SL,fx_cross
EURUSD,2013-10-31 00:00:00+00:00,long,1,-1.0420702305159157,0,SAME_BAR_SL,fx_major
USDCHF,2013-11-01 00:00:00+00:00,short,3,-1.013274092980857,5,SL,fx_major
EURUSD,2013-11-01 00:00:00+00:00,long,2,-1.018427051826678,2,SL,fx_major
EURCAD,2013-11-01 00:00:00+00:00,long,1,-1.0458622428820443,1,SL,fx_cross
CADCHF,2013-11-03 00:00:00+00:00,short,4,-1.033558412046544,4,SL,fx_cross
EURCAD,2013-11-04 00:00:00+00:00,long,2,-1.0141102231782737,3,SL,fx_cross
EURNZD,2013-11-05 00:00:00+00:00,long,1,-1.0133313475802306,2,SL,fx_cross
EURAUD,2013-11-05 00:00:00+00:00,long,2,-1.0307888152026383,2,SL,fx_cross
AUDCHF,2013-11-05 00:00:00+00:00,short,3,-1.01842730783794,2,SL,fx_cross
NZDCAD,2013-11-05 00:00:00+00:00,short,3,-1.0134154176413928,24,SL,fx_cross
GBPUSD,2013-11-05 00:00:00+00:00,short,4,-1.0351008525615955,1,SL,fx_major
NZDCHF,2013-11-05 00:00:00+00:00,short,4,-1.0149274785351319,2,SL,fx_cross
NZDJPY,2013-11-06 00:00:00+00:00,short,3,-1.008877568342573,22,SL,fx_cross
EURUSD,2013-11-07 00:00:00+00:00,long,1,2.477168386899297,9,TP,fx_major
EURGBP,2013-11-07 00:00:00+00:00,long,2,-1.0226187605497954,0,SAME_BAR_SL,fx_cross
GBPCHF,2013-11-07 00:00:00+00:00,short,3,-1.0178197728993184,19,SL,fx_cross
NQ,2013-11-07 00:00:00+00:00,long,1,-1.0064879758308156,1,SL,indices
CADJPY,2013-11-07 00:00:00+00:00,short,4,-1.013909266378972,7,SL,fx_cross
GBPAUD,2013-11-07 00:00:00+00:00,short,3,-1.0603985325743197,1,SL,fx_cross
EURGBP,2013-11-11 00:00:00+00:00,short,4,-1.036321855431002,1,SL,fx_cross
NZDCHF,2013-11-12 00:00:00+00:00,long,1,-1.0284580619111707,0,SAME_BAR_SL,fx_cross
EURNZD,2013-11-12 00:00:00+00:00,short,4,-1.0373264268192977,0,SAME_BAR_SL,fx_cross
AUDUSD,2013-11-12 00:00:00+00:00,long,2,-1.028101626278944,0,SAME_BAR_SL,fx_major
AUDCAD,2013-11-12 00:00:00+00:00,long,1,-1.0131281802924959,9,SL,fx_cross
GBPUSD,2013-11-13 00:00:00+00:00,short,4,-1.0380348809523803,0,SAME_BAR_SL,fx_major
AUDNZD,2013-11-13 00:00:00+00:00,long,2,-1.0244271522665636,8,SL,fx_cross
NQ,2013-11-13 00:00:00+00:00,short,4,-1.007042614379085,0,SAME_BAR_SL,indices
NZDUSD,2013-11-13 00:00:00+00:00,short,3,2.4890169060513303,68,TP,fx_major
CL,2013-11-13 00:00:00+00:00,short,3,-1.0058392263056093,17,SL,commodities
EURNZD,2013-11-13 00:00:00+00:00,long,2,-1.006411630914938,115,SL,fx_cross
GBPCAD,2013-11-14 00:00:00+00:00,short,3,-1.0217326618374154,6,SL,fx_cross
NQ,2013-11-19 00:00:00+00:00,short,3,-1.0080259778597787,4,SL,indices
GBPAUD,2013-11-20 00:00:00+00:00,short,3,-1.0107488487837686,1,SL,fx_cross
EURCAD,2013-11-20 00:00:00+00:00,long,1,-1.0362259147180186,0,SAME_BAR_SL,fx_cross
EURGBP,2013-11-20 00:00:00+00:00,long,2,-1.037523370786517,2,SL,fx_cross
CHFJPY,2013-11-20 00:00:00+00:00,long,1,2.4801125599481533,2,TP,fx_cross
EURUSD,2013-11-21 00:00:00+00:00,short,3,-1.0125632469372448,5,SL,fx_major
GBPNZD,2013-11-21 00:00:00+00:00,short,4,-1.0130391078066914,5,SL,fx_cross
AUDUSD,2013-11-21 00:00:00+00:00,long,2,-1.0254395685216964,0,SAME_BAR_SL,fx_major
NZDCHF,2013-11-22 00:00:00+00:00,long,2,-1.019337052533705,4,SL,fx_cross
USDCHF,2013-11-22 00:00:00+00:00,long,2,-1.0282528832318762,0,SAME_BAR_SL,fx_major
ES,2013-11-22 00:00:00+00:00,long,1,-1.005858775510204,20,SL,indices
CADCHF,2013-11-25 00:00:00+00:00,long,2,-1.0159555938379992,4,SL,fx_cross
AUDCHF,2013-11-26 00:00:00+00:00,long,2,-1.0236003441295545,0,SAME_BAR_SL,fx_cross
GBPAUD,2013-11-26 00:00:00+00:00,short,3,-1.0188829841633276,1,SL,fx_cross
AUDCAD,2013-11-27 00:00:00+00:00,short,4,-1.0251383569932508,3,SL,fx_cross
EURCAD,2013-11-27 00:00:00+00:00,short,3,-1.0315673382987056,2,SL,fx_cross
NZDCHF,2013-11-28 00:00:00+00:00,long,1,2.4816348332214013,3,TP,fx_cross
AUDCHF,2013-12-01 00:00:00+00:00,short,4,-1.0275754542746498,1,SL,fx_cross
EURAUD,2013-12-01 00:00:00+00:00,long,1,-1.0412616922315712,1,SL,fx_cross
AUDCAD,2013-12-02 00:00:00+00:00,short,4,2.4594945143282465,1,TP,fx_cross
GBPNZD,2013-12-02 00:00:00+00:00,long,1,-1.010408490601154,4,SL,fx_cross
USDJPY,2013-12-03 00:00:00+00:00,long,1,-1.025283309859155,0,SAME_BAR_SL,fx_major
CADJPY,2013-12-03 00:00:00+00:00,long,1,-1.0186907962771456,0,SAME_BAR_SL,fx_cross
USDCHF,2013-12-03 00:00:00+00:00,long,2,-1.0299076959340017,1,SL,fx_major
EURUSD,2013-12-03 00:00:00+00:00,short,3,-1.0473555444928437,2,SL,fx_major
AUDUSD,2013-12-03 00:00:00+00:00,long,1,-1.0131913378448725,8,SL,fx_major
YM,2013-12-03 00:00:00+00:00,long,1,-1.009864912959381,1,SL,indices
EURGBP,2013-12-05 00:00:00+00:00,short,3,-1.0400120239111859,5,SL,fx_cross
USDJPY,2013-12-05 00:00:00+00:00,long,1,2.481143454665784,6,TP,fx_major
USDCHF,2013-12-05 00:00:00+00:00,long,1,-1.0196202685347346,1,SL,fx_major
YM,2013-12-06 00:00:00+00:00,short,3,2.4902506261859583,5,TP,indices
GBPAUD,2013-12-06 00:00:00+00:00,long,2,2.475942408026756,5,TP,fx_cross
EURUSD,2013-12-09 00:00:00+00:00,short,4,-1.0271953590378484,2,SL,fx_major
NZDJPY,2013-12-11 00:00:00+00:00,long,1,-1.00853200867052,44,SL,fx_cross
GBPCHF,2013-12-11 00:00:00+00:00,long,1,-1.0492750892047167,0,SAME_BAR_SL,fx_cross
