instrument,ts,side,fcode,r,bars,reason,klass
GBPCHF,2013-02-07 14:00:00+00:00,short,3,-1.0317237192844506,5,SL,fx_cross
CADCHF,2013-02-07 14:00:00+00:00,long,1,-1.0203002216943786,17,SL,fx_cross
CHFJPY,2013-02-07 14:00:00+00:00,long,2,-1.0145070731707315,4,SL,fx_cross
NZDUSD,2013-02-07 14:00:00+00:00,long,2,2.469517620137299,18,TP,fx_major
NZDCHF,2013-02-07 22:00:00+00:00,short,3,-1.017407055003044,16,SL,fx_cross
GBPCAD,2013-02-08 06:00:00+00:00,short,3,-1.0315502113937662,1,SL,fx_cross
AUDUSD,2013-02-08 06:00:00+00:00,short,3,-1.0739250127877096,1,SL,fx_major
EURJPY,2013-02-08 06:00:00+00:00,long,1,2.478926889835667,9,TP,fx_cross
NZDCAD,2013-02-08 10:00:00+00:00,short,4,-1.0335150606709487,7,SL,fx_cross
USDCAD,2013-02-08 10:00:00+00:00,short,3,-1.054469859154924,3,SL,fx_major
AUDCAD,2013-02-08 10:00:00+00:00,short,4,-1.1397257557436293,0,SAME_BAR_SL,fx_cross
CL,2013-02-08 11:00:00+00:00,short,3,-1.0089000576368876,12,SL,commodities
GBPUSD,2013-02-08 14:00:00+00:00,short,4,2.438144050279332,4,TP,fx_major
GBPNZD,2013-02-10 22:00:00+00:00,long,1,-1.0230572612298299,4,SL,fx_cross
EURGBP,2013-02-11 06:00:00+00:00,short,4,-1.0444259711224968,1,SL,fx_cross
EURCAD,2013-02-11 06:00:00+00:00,short,4,-1.0232936464771325,7,SL,fx_cross
AUDUSD,2013-02-11 06:00:00+00:00,long,2,-1.042203356540859,4,SL,fx_major
GBPCHF,2013-02-11 06:00:00+00:00,long,1,-1.0907240852974256,0,SAME_BAR_SL,fx_cross
CHFJPY,2013-02-11 10:00:00+00:00,long,2,-1.0095966037735848,22,SL,fx_cross
NQ,2013-02-11 15:00:00+00:00,short,3,-1.0175556435643565,36,SL,indices
NZDCAD,2013-02-11 18:00:00+00:00,long,2,2.4657231801604658,13,TP,fx_cross
USDCHF,2013-02-11 22:00:00+00:00,short,4,-1.0256073864482504,41,SL,fx_major
GBPCAD,2013-02-12 06:00:00+00:00,long,1,-1.0354097506033784,1,SL,fx_cross
GBPAUD,2013-02-12 10:00:00+00:00,long,1,-1.030705404723274,4,SL,fx_cross
AUDUSD,2013-02-12 10:00:00+00:00,short,4,-1.0549425787965583,1,SL,fx_major
USDCAD,2013-02-12 10:00:00+00:00,long,2,-1.056960404244572,1,SL,fx_major
CADCHF,2013-02-12 14:00:00+00:00,short,3,-1.0394305121293799,10,SL,fx_cross
AUDCAD,2013-02-12 14:00:00+00:00,short,3,-1.0461867092142012,3,SL,fx_cross
GBPUSD,2013-02-12 14:00:00+00:00,short,4,2.453660739957718,5,TP,fx_major
AUDNZD,2013-02-12 18:00:00+00:00,short,4,-1.0450709025270768,1,SL,fx_cross
AUDUSD,2013-02-13 02:00:00+00:00,short,4,-1.2612248648648257,0,SAME_BAR_SL,fx_major
GBPAUD,2013-02-13 06:00:00+00:00,long,1,-1.117086053904636,1,SL,fx_cross
EURGBP,2013-02-13 10:00:00+00:00,long,2,2.4600839800995025,25,TP,fx_cross
GBPCAD,2013-02-13 10:00:00+00:00,long,2,-1.060999176839906,1,SL,fx_cross
GBPCHF,2013-02-13 10:00:00+00:00,long,2,-1.027396694101509,29,SL,fx_cross
EURCAD,2013-02-14 06:00:00+00:00,long,1,-1.0733703703703723,0,SAME_BAR_SL,fx_cross
EURUSD,2013-02-14 06:00:00+00:00,long,2,-1.084249938167511,1,SL,fx_major
EURAUD,2013-02-14 10:00:00+00:00,long,2,-1.0284621766561513,33,SL,fx_cross
GBPJPY,2013-02-14 14:00:00+00:00,long,1,-1.0253272567482734,3,SL,fx_cross
AUDNZD,2013-02-14 14:00:00+00:00,short,4,-1.146807725321878,0,SAME_BAR_SL,fx_cross
CL,2013-02-14 15:00:00+00:00,long,2,-1.0098190536277603,5,SL,commodities
ES,2013-02-14 15:00:00+00:00,short,3,-1.0146933333333332,16,SL,indices
CHFJPY,2013-02-15 06:00:00+00:00,long,1,2.475480034995626,2,TP,fx_cross
AUDUSD,2013-02-15 10:00:00+00:00,long,1,-1.0599188387765688,1,SL,fx_major
EURJPY,2013-02-15 14:00:00+00:00,short,4,2.490109827829523,37,TP,fx_cross
