instrument,ts,side,fcode,r,bars,reason,klass
HG,2019-03-29 06:00:00+00:00,short,4,-1.0137623703703706,0,SAME_BAR_SL,metals
CL,2019-04-26 06:00:00+00:00,long,1,-1.0306101492537305,0,SAME_BAR_SL,commodities
NG,2019-04-26 10:00:00+00:00,short,4,-1.0132593548387099,0,SAME_BAR_SL,commodities
NZDCAD,2019-05-24 09:00:00+00:00,short,3,-1.0499990263691674,14,SL,fx_cross
USDCHF,2019-08-05 05:00:00+00:00,long,1,-1.0645976859504167,1,SL,fx_major
EURCAD,2019-08-05 17:00:00+00:00,short,4,-1.0996469795427217,0,SAME_BAR_SL,fx_cross
EURCAD,2019-08-07 01:00:00+00:00,short,3,-1.0675919093851076,3,SL,fx_cross
AUDUSD,2019-09-04 13:00:00+00:00,short,3,-1.2348888888888954,0,SAME_BAR_SL,fx_major
GBPUSD,2019-09-05 05:00:00+00:00,short,4,-1.0979377777777681,1,SL,fx_major
NZDJPY,2019-09-05 09:00:00+00:00,short,3,-1.0610113738019138,1,SL,fx_cross
YM,2019-09-25 18:00:00+00:00,short,3,2.4885272340425533,27,TP,indices
EURGBP,2019-10-11 05:00:00+00:00,long,2,-1.0479335014549,1,SL,fx_cross
GBPCHF,2019-10-11 09:00:00+00:00,short,4,-1.0485937482710936,0,SAME_BAR_SL,fx_cross
GBPUSD,2019-10-11 09:00:00+00:00,short,4,-1.0489941747572775,0,SAME_BAR_SL,fx_major
GBPCAD,2019-10-11 09:00:00+00:00,short,3,2.4624411173184355,3,TP,fx_cross
GBPJPY,2019-10-11 09:00:00+00:00,short,3,-1.0287278300455238,0,SAME_BAR_SL,fx_cross
NG,2019-10-29 10:00:00+00:00,short,3,-1.0102321951219513,0,SAME_BAR_SL,commodities
AUDCHF,2019-11-11 18:00:00+00:00,long,2,-1.0485190839694631,6,SL,fx_cross
AUDNZD,2019-11-14 10:00:00+00:00,long,1,2.408658064516123,2,TP,fx_cross
EURCHF,2019-11-18 14:00:00+00:00,short,3,-1.0458353293413127,4,SL,fx_cross
AUDJPY,2020-01-05 22:00:00+00:00,long,1,-1.0775077264325328,0,SAME_BAR_SL,fx_cross
EURJPY,2020-02-20 06:00:00+00:00,short,3,-1.0859493129770992,0,SAME_BAR_SL,fx_cross
CHFJPY,2020-02-20 10:00:00+00:00,short,3,2.4584097916666683,13,TP,fx_cross
EURUSD,2020-02-28 06:00:00+00:00,short,3,-1.052675358361773,4,SL,fx_major
USDCAD,2020-02-28 18:00:00+00:00,short,3,2.4340877057793358,1,TP,fx_major
AUDCAD,2020-03-05 06:00:00+00:00,short,4,2.4266891083271953,2,TP,fx_cross
EURCHF,2020-03-09 09:00:00+00:00,long,2,-1.027884628410159,43,SL,fx_cross
NG,2020-03-09 10:00:00+00:00,short,4,-1.0076266666666667,0,SAME_BAR_SL,commodities
USDCAD,2020-03-09 17:00:00+00:00,short,4,-1.0185544485025568,5,SL,fx_major
CL,2020-03-09 18:00:00+00:00,long,2,-1.0005606356413166,39,SL,commodities
AUDCAD,2020-03-13 01:00:00+00:00,long,2,-1.0076944840525328,3,SL,fx_cross
HG,2020-03-15 22:00:00+00:00,short,3,2.4942777142857144,2,TP,metals
NZDUSD,2020-03-19 09:00:00+00:00,long,2,2.496155740221762,178,TP,fx_major
NG,2020-04-20 18:00:00+00:00,short,3,2.4970490566037737,5,TP,commodities
GBPAUD,2020-05-01 05:00:00+00:00,short,4,2.4807402894458175,25,TP,fx_cross
EURAUD,2020-06-02 21:00:00+00:00,long,1,-1.0465807194244614,0,SAME_BAR_SL,fx_cross
USDJPY,2020-06-09 13:00:00+00:00,long,1,-1.1156346360153402,0,SAME_BAR_SL,fx_major
SI,2020-07-22 10:00:00+00:00,short,3,-1.008051270718232,0,SAME_BAR_SL,metals
AUDJPY,2020-07-24 17:00:00+00:00,long,2,2.4433878542510152,1,TP,fx_cross
PA,2020-07-30 10:00:00+00:00,long,1,-1.0191977142857143,0,SAME_BAR_SL,metals
SI,2020-08-11 22:00:00+00:00,long,1,-1.0046151319648093,1,SL,metals
SI,2020-08-12 10:00:00+00:00,long,2,-1.000845820818229,180,SL,metals
EURGBP,2020-09-08 17:00:00+00:00,short,3,-1.0704139805825228,2,SL,fx_cross
GBPJPY,2020-09-08 21:00:00+00:00,long,1,-1.0407333191940622,10,SL,fx_cross
AUDJPY,2020-09-30 05:00:00+00:00,short,3,-1.022387198298777,2,SL,fx_cross
CL,2020-11-03 23:00:00+00:00,short,4,2.491573333333333,2,TP,commodities
GBPCHF,2020-11-11 06:00:00+00:00,short,3,-1.0461605420054205,0,SAME_BAR_SL,fx_cross
EURCHF,2020-12-18 06:00:00+00:00,short,3,2.4298111778290985,5,TP,fx_cross
USDCAD,2020-12-21 10:00:00+00:00,short,4,-1.054499773926148,0,SAME_BAR_SL,fx_major
CADJPY,2021-02-16 10:00:00+00:00,short,3,-1.033006779661017,19,SL,fx_cross
EURGBP,2021-02-26 06:00:00+00:00,short,3,2.4535535680304474,4,TP,fx_cross
AUDCAD,2021-02-26 14:00:00+00:00,long,1,2.4523109643788024,11,TP,fx_cross
EURCAD,2021-04-07 05:00:00+00:00,short,3,-1.0414827777777784,0,SAME_BAR_SL,fx_cross
EURCAD,2021-04-07 13:00:00+00:00,short,4,2.4504459433962267,11,TP,fx_cross
EURGBP,2021-04-07 13:00:00+00:00,short,3,2.401260936863548,3,TP,fx_cross
GBPCAD,2021-04-20 13:00:00+00:00,short,4,2.449767198364009,6,TP,fx_cross
CL,2021-05-24 22:00:00+00:00,short,3,-1.0054772093023256,18,SL,commodities
USDCAD,2021-06-18 09:00:00+00:00,short,3,-1.0520959759759752,1,SL,fx_major
USDCHF,2021-06-18 09:00:00+00:00,short,3,-1.1037205633802787,0,SAME_BAR_SL,fx_major
NZDJPY,2021-06-18 13:00:00+00:00,long,2,-1.0370937024221452,3,SL,fx_cross
USDCHF,2021-06-18 13:00:00+00:00,short,4,-1.0673153585397648,1,SL,fx_major
CADJPY,2021-06-21 01:00:00+00:00,long,1,-1.064535979112265,0,SAME_BAR_SL,fx_cross
GBPJPY,2021-06-21 01:00:00+00:00,long,2,-1.0491464516129068,0,SAME_BAR_SL,fx_cross
EURCHF,2021-08-09 17:00:00+00:00,short,4,-1.1630264150943448,3,SL,fx_cross
EURCHF,2021-08-17 05:00:00+00:00,long,2,-1.093770733229332,1,SL,fx_cross
EURCAD,2021-08-20 05:00:00+00:00,short,4,-1.0534032487309637,0,SAME_BAR_SL,fx_cross
USDCAD,2021-08-24 13:00:00+00:00,long,1,-1.2091691394658557,0,SAME_BAR_SL,fx_major
GBPCHF,2021-09-21 09:00:00+00:00,long,2,-1.0391801550387612,1,SL,fx_cross
GBPJPY,2021-09-23 21:00:00+00:00,short,3,-1.0535304918032782,8,SL,fx_cross
EURJPY,2021-09-23 21:00:00+00:00,short,3,-1.0867437320574267,2,SL,fx_cross
NKD,2021-10-04 14:00:00+00:00,long,1,-1.0206970114942528,0,SAME_BAR_SL,indices
EURAUD,2021-11-03 13:00:00+00:00,short,4,2.3984943089430897,2,TP,fx_cross
EURGBP,2021-11-16 06:00:00+00:00,long,1,-1.0935532015810305,0,SAME_BAR_SL,fx_cross
EURCAD,2021-11-26 18:00:00+00:00,short,4,2.4700091648189204,39,TP,fx_cross
CADJPY,2021-11-29 06:00:00+00:00,long,2,2.456844969591662,2,TP,fx_cross
EURGBP,2022-02-04 06:00:00+00:00,short,3,-1.0464877165354314,1,SL,fx_cross
EURCHF,2022-02-04 10:00:00+00:00,short,4,-1.0563532635585156,2,SL,fx_cross
AUDCAD,2022-03-14 13:00:00+00:00,long,1,-1.0384003566121849,6,SL,fx_cross
CADCHF,2022-05-19 05:00:00+00:00,long,1,-1.0265514851485154,0,SAME_BAR_SL,fx_cross
NZDJPY,2022-06-13 05:00:00+00:00,long,2,-1.0258996197718622,0,SAME_BAR_SL,fx_cross
USDCAD,2022-06-13 05:00:00+00:00,short,3,-1.0537051308900485,1,SL,fx_major
GBPJPY,2022-06-13 13:00:00+00:00,long,2,2.4529918181818164,3,TP,fx_cross
GBPJPY,2022-06-14 05:00:00+00:00,long,2,-1.0471788429752085,1,SL,fx_cross
AUDCAD,2022-06-16 17:00:00+00:00,short,4,-1.1322847668393639,0,SAME_BAR_SL,fx_cross
EURCHF,2022-06-17 09:00:00+00:00,long,2,2.443727236580513,1,TP,fx_cross
SI,2022-07-10 22:00:00+00:00,long,2,-1.0042303780068729,6,SL,metals
GBPAUD,2022-08-02 21:00:00+00:00,short,3,2.449829582909461,5,TP,fx_cross
USDCHF,2022-09-08 21:00:00+00:00,long,2,-1.0981744927536277,1,SL,fx_major
GBPCHF,2022-09-30 13:00:00+00:00,short,4,-1.0229065274151434,2,SL,fx_cross
CADJPY,2023-03-10 06:00:00+00:00,long,2,-1.0349907614213194,2,SL,fx_cross
USDCHF,2023-03-10 10:00:00+00:00,long,2,-1.0831843086816735,1,SL,fx_major
NZDJPY,2023-03-10 14:00:00+00:00,long,2,-1.0471831237322493,0,SAME_BAR_SL,fx_cross
CADJPY,2023-03-13 09:00:00+00:00,long,1,2.474848650163475,4,TP,fx_cross
EURNZD,2023-05-25 13:00:00+00:00,short,4,-1.0300869174757281,21,SL,fx_cross
AUDCHF,2023-06-02 05:00:00+00:00,short,3,-1.0300603584229395,6,SL,fx_cross
GBPCAD,2023-06-05 09:00:00+00:00,long,1,2.440474789272029,19,TP,fx_cross
AUDCAD,2023-07-13 13:00:00+00:00,short,4,2.4449813680781753,11,TP,fx_cross
AUDNZD,2023-07-19 05:00:00+00:00,short,4,2.421496082474238,1,TP,fx_cross
GBPJPY,2023-09-15 13:00:00+00:00,long,1,-1.0448891688538944,16,SL,fx_cross
CADCHF,2023-10-02 05:00:00+00:00,long,1,-1.0459643361753956,0,SAME_BAR_SL,fx_cross
GBPCHF,2023-10-16 09:00:00+00:00,long,2,-1.0246041025641024,13,SL,fx_cross
CHFJPY,2023-10-30 13:00:00+00:00,long,2,2.4661822222222223,5,TP,fx_cross
CADJPY,2023-11-20 02:00:00+00:00,long,2,-1.0410028532974431,1,SL,fx_cross
EURCHF,2023-11-30 14:00:00+00:00,long,1,-1.0764303448275878,0,SAME_BAR_SL,fx_cross
EURCAD,2023-12-01 14:00:00+00:00,long,1,-1.0630270137825406,0,SAME_BAR_SL,fx_cross
PA,2023-12-15 15:00:00+00:00,short,4,-1.004473488372093,6,SL,metals
EURGBP,2024-01-04 14:00:00+00:00,long,1,-1.0492680122324165,6,SL,fx_cross
NKD,2024-03-11 02:00:00+00:00,long,1,-1.0138865536723163,3,SL,indices
EURUSD,2024-04-04 05:00:00+00:00,short,3,-1.0743538800489534,1,SL,fx_major
AUDCAD,2024-04-04 09:00:00+00:00,short,3,-1.0569678538812808,2,SL,fx_cross
EURNZD,2024-04-16 13:00:00+00:00,short,3,-1.2591124296676168,0,SAME_BAR_SL,fx_cross
GBPJPY,2024-04-29 09:00:00+00:00,short,3,-1.0048386211760558,236,SL,fx_cross
CHFJPY,2024-04-29 09:00:00+00:00,short,3,-1.0055105849965589,192,SL,fx_cross
USDJPY,2024-04-29 09:00:00+00:00,short,3,-1.004449141927613,262,SL,fx_major
EURJPY,2024-04-29 09:00:00+00:00,short,3,-1.0047568788001622,267,SL,fx_cross
