instrument,ts,side,fcode,r,bars,reason,klass
YM,2013-06-24 14:00:00+00:00,long,2,2.479573568281938,1,TP,indices
CHFJPY,2013-06-24 17:00:00+00:00,short,4,-1.0206812976022561,27,SL,fx_cross
GBPNZD,2013-06-27 05:00:00+00:00,long,2,-1.0231471603893358,31,SL,fx_cross
GBPUSD,2013-06-27 13:00:00+00:00,long,1,2.4031034451392848,3,TP,fx_major
EURGBP,2013-06-28 09:00:00+00:00,short,3,2.39798012738853,1,TP,fx_cross
EURUSD,2013-06-28 13:00:00+00:00,long,1,-1.0554616445623357,0,SAME_BAR_SL,fx_major
EURGBP,2013-07-03 05:00:00+00:00,long,1,-1.0872015384615346,1,SL,fx_cross
GBPJPY,2013-07-03 13:00:00+00:00,short,3,-1.0464885403050106,0,SAME_BAR_SL,fx_cross
NQ,2013-07-10 10:00:00+00:00,short,4,-1.0210004395604395,2,SL,indices
NZDCAD,2013-07-10 21:00:00+00:00,short,4,2.4785887012987007,4,TP,fx_cross
YM,2013-07-10 22:00:00+00:00,short,3,-1.0129918302387269,2,SL,indices
EURAUD,2013-07-11 13:00:00+00:00,short,3,-1.0100493653494673,5,SL,fx_cross
EURGBP,2013-07-12 09:00:00+00:00,long,1,2.454732457786117,11,TP,fx_cross
GBPAUD,2013-07-12 09:00:00+00:00,short,4,2.4833057339163025,11,TP,fx_cross
NZDJPY,2013-07-18 09:00:00+00:00,short,4,-1.0140127756653992,5,SL,fx_cross
AUDCHF,2013-07-19 13:00:00+00:00,long,2,-1.0490276176024294,5,SL,fx_cross
EURJPY,2013-07-24 09:00:00+00:00,short,3,2.4876981842279657,59,TP,fx_cross
EURGBP,2013-07-25 05:00:00+00:00,long,2,2.4373044111906306,18,TP,fx_cross
NQ,2013-07-25 10:00:00+00:00,short,3,-1.0542177777777777,0,SAME_BAR_SL,indices
YM,2013-07-25 14:00:00+00:00,short,4,-1.0869052631578948,0,SAME_BAR_SL,indices
GBPAUD,2013-07-26 05:00:00+00:00,long,2,2.4792538037289273,11,TP,fx_cross
NQ,2013-07-26 18:00:00+00:00,short,3,-1.013467397260274,11,SL,indices
GBPNZD,2013-07-30 21:00:00+00:00,long,2,-1.047454676450968,8,SL,fx_cross
GBPCHF,2013-07-31 05:00:00+00:00,long,2,-1.0439981959910902,3,SL,fx_cross
CL,2013-08-01 22:00:00+00:00,short,3,-1.012481155234657,0,SAME_BAR_SL,commodities
AUDNZD,2013-08-04 21:00:00+00:00,short,4,-1.0918335862562603,0,SAME_BAR_SL,fx_cross
GBPCAD,2013-08-07 09:00:00+00:00,short,4,-1.0278822929936304,0,SAME_BAR_SL,fx_cross
NZDCHF,2013-08-08 01:00:00+00:00,long,1,2.472971379650972,9,TP,fx_cross
EURUSD,2013-08-08 13:00:00+00:00,short,3,2.4424040860215057,10,TP,fx_major
EURGBP,2013-08-12 17:00:00+00:00,long,1,-1.0397939884393068,5,SL,fx_cross
AUDCHF,2013-08-15 01:00:00+00:00,short,4,-1.082900328435604,1,SL,fx_cross
EURGBP,2013-08-15 09:00:00+00:00,long,1,2.4526532077342593,36,TP,fx_cross
AUDCHF,2013-08-15 09:00:00+00:00,short,4,2.471704751251105,2,TP,fx_cross
NZDCHF,2013-08-20 01:00:00+00:00,long,1,-1.0660898402555847,0,SAME_BAR_SL,fx_cross
EURNZD,2013-08-20 09:00:00+00:00,short,4,-1.0339569785469624,3,SL,fx_cross
EURUSD,2013-08-28 09:00:00+00:00,long,2,-1.1049441573033771,1,SL,fx_major
NZDJPY,2013-09-02 05:00:00+00:00,short,3,-1.0316957540263547,0,SAME_BAR_SL,fx_cross
GBPUSD,2013-09-02 05:00:00+00:00,short,4,-1.0706178371810409,6,SL,fx_major
EURGBP,2013-09-03 05:00:00+00:00,long,2,-1.069525932452274,7,SL,fx_cross
AUDNZD,2013-09-03 13:00:00+00:00,short,3,-1.0334832972694492,3,SL,fx_cross
EURAUD,2013-09-04 05:00:00+00:00,long,1,-1.1023819911223738,0,SAME_BAR_SL,fx_cross
AUDCHF,2013-09-04 09:00:00+00:00,short,4,-1.0282952487488952,7,SL,fx_cross
EURAUD,2013-09-04 09:00:00+00:00,long,1,2.4369464576802513,5,TP,fx_cross
NZDJPY,2013-09-04 09:00:00+00:00,short,4,-1.0359107993474714,1,SL,fx_cross
EURAUD,2013-09-06 09:00:00+00:00,long,2,2.480737066409546,90,TP,fx_cross
EURUSD,2013-09-09 05:00:00+00:00,short,4,-1.0406412988442477,2,SL,fx_major
AUDJPY,2013-09-10 01:00:00+00:00,short,3,-1.018578052906244,2,SL,fx_cross
EURJPY,2013-09-10 13:00:00+00:00,short,3,-1.019679281563656,40,SL,fx_cross
GBPCAD,2013-09-11 05:00:00+00:00,short,4,2.3679312472963128,1,TP,fx_cross
ES,2013-09-11 14:00:00+00:00,short,4,-1.0121889265536723,14,SL,indices
USDCAD,2013-09-17 13:00:00+00:00,long,2,-1.1196668879668148,0,SAME_BAR_SL,fx_major
NZDJPY,2013-09-19 01:00:00+00:00,short,3,-1.0146518819422405,1,SL,fx_cross
USDCAD,2013-09-19 05:00:00+00:00,long,2,2.45021492589364,4,TP,fx_major
EURGBP,2013-09-19 05:00:00+00:00,short,3,-1.0905899424184196,1,SL,fx_cross
GBPNZD,2013-09-19 09:00:00+00:00,long,2,2.473994927589145,19,TP,fx_cross
CL,2013-09-20 18:00:00+00:00,long,1,-1.0228223129251706,1,SL,commodities
EURGBP,2013-09-27 05:00:00+00:00,long,1,-1.0327360167130921,4,SL,fx_cross
USDCAD,2013-09-30 17:00:00+00:00,short,4,-1.075227275097783,1,SL,fx_major
AUDCHF,2013-10-02 09:00:00+00:00,long,2,2.4496727970165155,11,TP,fx_cross
GBPAUD,2013-10-04 01:00:00+00:00,long,1,-1.0384560256410256,1,SL,fx_cross
NZDCAD,2013-10-07 01:00:00+00:00,long,1,2.4784260536398466,36,TP,fx_cross
NZDCHF,2013-10-07 05:00:00+00:00,long,1,-1.0361605167958652,0,SAME_BAR_SL,fx_cross
EURUSD,2013-10-09 13:00:00+00:00,long,2,2.44078252153485,17,TP,fx_major
EURAUD,2013-10-14 09:00:00+00:00,long,2,-1.095845071770328,2,SL,fx_cross
EURNZD,2013-10-15 09:00:00+00:00,long,2,-1.0515906796116514,0,SAME_BAR_SL,fx_cross
GBPAUD,2013-10-16 21:00:00+00:00,long,1,2.4741710066371687,37,TP,fx_cross
NZDCHF,2013-10-23 01:00:00+00:00,long,2,-1.0366779277318228,2,SL,fx_cross
