instrument,ts,side,fcode,r,bars,reason,klass
EURNZD,2017-11-14 22:00:00+00:00,short,4,-1.034733564714389,13,SL,fx_cross
GBPCHF,2017-11-30 02:00:00+00:00,short,4,-1.0553372706935107,1,SL,fx_cross
GBPJPY,2017-11-30 06:00:00+00:00,short,4,-1.040581476510067,2,SL,fx_cross
EURGBP,2017-11-30 06:00:00+00:00,long,1,2.415728877463592,2,TP,fx_cross
EURJPY,2017-12-01 02:00:00+00:00,short,3,2.4457753535353524,3,TP,fx_cross
CADJPY,2017-12-04 10:00:00+00:00,short,3,2.4510957100881496,9,TP,fx_cross
AUDCAD,2017-12-14 06:00:00+00:00,short,4,-1.104800912547532,0,SAME_BAR_SL,fx_cross
HG,2018-01-03 15:00:00+00:00,long,1,2.485672827586207,4,TP,metals
USDCHF,2018-01-25 22:00:00+00:00,long,2,-1.011223323366083,28,SL,fx_major
RTY,2018-02-09 19:00:00+00:00,short,3,-1.0199372151898736,0,SAME_BAR_SL,indices
AUDJPY,2018-03-16 17:00:00+00:00,long,2,-1.0242467265996824,2,SL,fx_cross
EURNZD,2018-03-19 09:00:00+00:00,short,3,-1.0256698521902714,12,SL,fx_cross
NKD,2018-03-29 10:00:00+00:00,short,3,-1.0157094252873564,1,SL,indices
EURGBP,2018-04-19 17:00:00+00:00,short,3,-1.0360986528497407,0,SAME_BAR_SL,fx_cross
USDCAD,2018-04-23 09:00:00+00:00,short,3,-1.0502802948402954,1,SL,fx_major
EURCHF,2018-05-16 05:00:00+00:00,long,1,-1.1651832418952224,1,SL,fx_cross
NZDJPY,2018-05-18 05:00:00+00:00,short,3,-1.0268322807017534,4,SL,fx_cross
GBPJPY,2018-05-24 13:00:00+00:00,long,2,-1.019996632403329,15,SL,fx_cross
AUDJPY,2018-05-24 13:00:00+00:00,long,1,-1.0277378151260506,15,SL,fx_cross
DAX,2018-05-29 14:00:00+00:00,long,2,2.4728624915824917,2,TP,indices
GBPNZD,2018-06-15 13:00:00+00:00,short,4,-1.0415426268888044,19,SL,fx_cross
NZDCHF,2018-06-18 13:00:00+00:00,long,2,-1.02971142198309,4,SL,fx_cross
NZDCAD,2018-06-28 09:00:00+00:00,long,2,-1.1057564705882332,1,SL,fx_cross
CHFJPY,2018-07-31 13:00:00+00:00,short,3,2.44663662731872,10,TP,fx_cross
AUDCHF,2018-08-10 05:00:00+00:00,long,1,-1.0329515551974202,0,SAME_BAR_SL,fx_cross
EURJPY,2018-08-13 01:00:00+00:00,long,2,2.4663318120805373,3,TP,fx_cross
GBPUSD,2018-08-22 09:00:00+00:00,short,3,-1.030858947368421,1,SL,fx_major
EURAUD,2018-08-22 09:00:00+00:00,short,3,-1.0552210368519657,4,SL,fx_cross
GBPCHF,2018-09-11 05:00:00+00:00,short,4,2.457052956050572,1,TP,fx_cross
EURAUD,2018-09-13 01:00:00+00:00,long,2,2.4564763479096587,17,TP,fx_cross
EURCAD,2018-10-01 13:00:00+00:00,long,2,-1.0484109557109593,4,SL,fx_cross
NZDJPY,2018-10-05 05:00:00+00:00,long,2,-1.025746708307308,2,SL,fx_cross
ES,2018-10-08 18:00:00+00:00,short,4,-1.0315842735042735,5,SL,indices
USDJPY,2018-10-30 17:00:00+00:00,short,4,-1.035689571106095,5,SL,fx_major
GBPCHF,2018-11-01 13:00:00+00:00,short,3,-1.0408998090960138,8,SL,fx_cross
AUDUSD,2018-11-02 01:00:00+00:00,short,3,-1.072010818505333,0,SAME_BAR_SL,fx_major
AUDUSD,2018-11-02 09:00:00+00:00,short,3,-1.013812698844324,61,SL,fx_major
AUDCAD,2018-11-29 18:00:00+00:00,short,3,-1.0376412171507603,7,SL,fx_cross
AUDJPY,2018-12-05 22:00:00+00:00,long,1,-1.041198055805579,1,SL,fx_cross
NZDJPY,2019-01-07 14:00:00+00:00,short,4,-1.0476715447154414,4,SL,fx_cross
AUDCHF,2019-02-06 22:00:00+00:00,long,1,-1.0501171859296499,4,SL,fx_cross
AUDUSD,2019-02-07 02:00:00+00:00,long,2,-1.0305479569892473,5,SL,fx_major
AUDCAD,2019-02-21 22:00:00+00:00,long,2,2.4829486270691334,214,TP,fx_cross
CHFJPY,2019-03-08 02:00:00+00:00,long,2,2.4374776470588264,20,TP,fx_cross
DAX,2019-03-22 20:00:00+00:00,long,2,2.4859552804642164,16,TP,indices
PL,2019-03-28 06:00:00+00:00,short,3,-1.005488792079208,29,SL,metals
PA,2019-03-28 14:00:00+00:00,long,2,-1.0080283428571428,0,SAME_BAR_SL,metals
HG,2019-03-29 06:00:00+00:00,short,4,-1.0137623703703706,0,SAME_BAR_SL,metals
CL,2019-04-26 06:00:00+00:00,long,1,-1.0306101492537305,0,SAME_BAR_SL,commodities
GBPJPY,2019-05-09 05:00:00+00:00,long,2,-1.055677883008355,0,SAME_BAR_SL,fx_cross
CHFJPY,2019-05-12 21:00:00+00:00,short,4,-1.0513613490725136,31,SL,fx_cross
GBPCAD,2019-05-16 09:00:00+00:00,long,2,-1.0384156424581008,7,SL,fx_cross
NZDCAD,2019-05-24 09:00:00+00:00,short,3,-1.0499990263691674,14,SL,fx_cross
NZDJPY,2019-06-05 05:00:00+00:00,short,3,-1.083512182952174,0,SAME_BAR_SL,fx_cross
RTY,2019-06-05 06:00:00+00:00,short,4,-1.010968325791855,16,SL,indices
EURAUD,2019-06-14 13:00:00+00:00,short,3,-1.0431927788279753,6,SL,fx_cross
SI,2019-08-05 02:00:00+00:00,short,4,-1.0109299999999999,0,SAME_BAR_SL,metals
NZDCHF,2019-08-06 01:00:00+00:00,long,1,-1.0196228193832595,6,SL,fx_cross
USDCAD,2019-08-09 13:00:00+00:00,long,2,-1.0632217064846394,1,SL,fx_major
NZDJPY,2019-09-05 09:00:00+00:00,short,3,-1.0610113738019138,1,SL,fx_cross
NZDCHF,2019-09-09 05:00:00+00:00,short,3,2.4803691629955953,49,TP,fx_cross
AUDCAD,2019-10-04 13:00:00+00:00,short,3,-1.0751017585692997,0,SAME_BAR_SL,fx_cross
GBPUSD,2019-10-11 09:00:00+00:00,short,4,-1.0489941747572775,0,SAME_BAR_SL,fx_major
GBPJPY,2019-10-11 09:00:00+00:00,short,3,-1.0287278300455238,0,SAME_BAR_SL,fx_cross
GBPCHF,2019-10-11 09:00:00+00:00,short,4,-1.0485937482710936,0,SAME_BAR_SL,fx_cross
AUDUSD,2019-10-18 09:00:00+00:00,short,3,-1.059241421947452,4,SL,fx_major
PL,2019-10-24 10:00:00+00:00,short,3,-1.0127455319148937,6,SL,metals
AUDCHF,2019-11-11 14:00:00+00:00,long,2,-1.0485190839694631,7,SL,fx_cross
EURCAD,2019-12-05 10:00:00+00:00,long,2,2.4106995633187736,6,TP,fx_cross
AUDCHF,2019-12-13 10:00:00+00:00,short,3,2.482223596450257,91,TP,fx_cross
EURCAD,2020-01-23 10:00:00+00:00,short,4,2.447796628352492,5,TP,fx_cross
EURAUD,2020-02-05 02:00:00+00:00,long,1,-1.0553662801932362,1,SL,fx_cross
USDJPY,2020-02-05 14:00:00+00:00,short,4,-1.1302972881355988,3,SL,fx_major
DAX,2020-02-06 04:00:00+00:00,short,3,2.469192624113475,7,TP,indices
EURNZD,2020-02-13 02:00:00+00:00,long,2,-1.0553060726846428,3,SL,fx_cross
EURJPY,2020-02-20 06:00:00+00:00,short,3,-1.0859493129770992,0,SAME_BAR_SL,fx_cross
CHFJPY,2020-02-20 10:00:00+00:00,short,3,2.4584097916666683,13,TP,fx_cross
EURCAD,2020-02-27 10:00:00+00:00,short,3,-1.0656292246203047,2,SL,fx_cross
EURGBP,2020-02-28 14:00:00+00:00,short,4,-1.0795708250825118,1,SL,fx_cross
PA,2020-03-02 15:00:00+00:00,long,1,-1.0029425873320537,10,SL,metals
AUDCAD,2020-03-04 14:00:00+00:00,short,3,-1.051358840579709,4,SL,fx_cross
GBPCAD,2020-03-06 10:00:00+00:00,short,4,-1.0648015936254938,1,SL,fx_cross
EURCHF,2020-03-09 09:00:00+00:00,long,2,-1.027884628410159,43,SL,fx_cross
NG,2020-03-09 10:00:00+00:00,short,4,-1.0076266666666667,0,SAME_BAR_SL,commodities
CL,2020-03-09 18:00:00+00:00,long,2,-1.0005606356413166,39,SL,commodities
NZDUSD,2020-03-19 09:00:00+00:00,long,2,2.496155740221762,178,TP,fx_major
NZDCAD,2020-03-19 09:00:00+00:00,long,2,2.49481135880624,334,TP,fx_cross
ES,2020-03-23 14:00:00+00:00,long,2,2.496965976520811,5,TP,indices
RTY,2020-04-12 22:00:00+00:00,short,4,2.495114486094317,3,TP,indices
NG,2020-04-20 18:00:00+00:00,short,3,2.4970490566037737,5,TP,commodities
YM,2020-05-19 06:00:00+00:00,short,3,-1.027018082191781,0,SAME_BAR_SL,indices
CADJPY,2020-05-19 21:00:00+00:00,short,3,2.4688971346704873,14,TP,fx_cross
AUDCHF,2020-06-02 09:00:00+00:00,short,4,-1.0378366220391329,0,SAME_BAR_SL,fx_cross
GBPCHF,2020-06-02 09:00:00+00:00,short,4,-1.052637387247279,4,SL,fx_cross
EURAUD,2020-06-02 21:00:00+00:00,long,1,-1.0465807194244614,0,SAME_BAR_SL,fx_cross
AUDCAD,2020-06-03 13:00:00+00:00,short,3,-1.0186779757662152,10,SL,fx_cross
USDJPY,2020-06-09 13:00:00+00:00,long,1,-1.1156346360153402,0,SAME_BAR_SL,fx_major
ES,2020-06-11 06:00:00+00:00,long,1,-1.0240421556886228,0,SAME_BAR_SL,indices
AUDCHF,2020-06-12 01:00:00+00:00,long,1,2.4811092549842604,10,TP,fx_cross
SI,2020-07-22 10:00:00+00:00,short,3,-1.008051270718232,0,SAME_BAR_SL,metals
EURAUD,2020-07-24 01:00:00+00:00,short,3,-1.0513284210526348,1,SL,fx_cross
AUDJPY,2020-07-24 17:00:00+00:00,long,2,2.4433878542510152,1,TP,fx_cross
PA,2020-07-30 10:00:00+00:00,long,1,-1.0191977142857143,0,SAME_BAR_SL,metals
SI,2020-08-11 22:00:00+00:00,long,1,-1.0046151319648093,1,SL,metals
SI,2020-08-12 10:00:00+00:00,long,2,-1.000845820818229,180,SL,metals
NZDCAD,2020-08-27 13:00:00+00:00,short,4,-1.058560191387562,5,SL,fx_cross
EURGBP,2020-09-08 17:00:00+00:00,short,3,-1.0704139805825228,2,SL,fx_cross
GBPJPY,2020-09-08 21:00:00+00:00,long,1,-1.0407333191940622,10,SL,fx_cross
CADJPY,2020-09-08 21:00:00+00:00,long,2,-1.1117332668329147,0,SAME_BAR_SL,fx_cross
EURJPY,2020-09-17 01:00:00+00:00,long,2,-1.039798064516128,13,SL,fx_cross
AUDUSD,2020-09-24 09:00:00+00:00,long,1,2.4401089802130893,2,TP,fx_major
CADJPY,2020-11-03 06:00:00+00:00,short,4,-1.0664138301043227,2,SL,fx_cross
AUDUSD,2020-11-03 22:00:00+00:00,short,4,2.445234735413839,1,TP,fx_major
CL,2020-11-03 23:00:00+00:00,short,4,2.491573333333333,2,TP,commodities
USDCHF,2020-11-06 06:00:00+00:00,long,2,-1.0355533052039394,1,SL,fx_major
