instrument,ts,side,fcode,r,bars,reason,klass
GBPUSD,2013-02-11 06:00:00+00:00,long,1,-1.0481204148471612,1,SL,fx_major
EURGBP,2013-02-11 06:00:00+00:00,short,4,-1.0444259711224968,1,SL,fx_cross
GBPCHF,2013-02-11 06:00:00+00:00,long,1,-1.0907240852974256,0,SAME_BAR_SL,fx_cross
EURJPY,2013-02-11 10:00:00+00:00,long,2,-1.008822258064516,23,SL,fx_cross
EURCHF,2013-02-11 10:00:00+00:00,short,4,-1.0364742311770943,2,SL,fx_cross
CHFJPY,2013-02-11 10:00:00+00:00,long,2,-1.0095966037735848,22,SL,fx_cross
AUDJPY,2013-02-11 10:00:00+00:00,short,3,-1.0236456212887617,2,SL,fx_cross
NZDCAD,2013-02-11 14:00:00+00:00,short,4,-1.043950065359477,0,SAME_BAR_SL,fx_cross
GBPUSD,2013-02-11 14:00:00+00:00,long,1,-1.103932551805791,2,SL,fx_major
NZDJPY,2013-02-11 14:00:00+00:00,short,3,-1.0326688323353277,0,SAME_BAR_SL,fx_cross
CADCHF,2013-02-11 18:00:00+00:00,short,4,-1.1569649079754796,0,SAME_BAR_SL,fx_cross
NZDCAD,2013-02-11 18:00:00+00:00,long,2,2.4657231801604658,13,TP,fx_cross
USDCHF,2013-02-11 22:00:00+00:00,short,4,-1.0256073864482504,41,SL,fx_major
GBPCAD,2013-02-12 06:00:00+00:00,long,1,-1.0354097506033784,1,SL,fx_cross
EURCHF,2013-02-12 06:00:00+00:00,long,1,-1.0400095758280061,57,SL,fx_cross
CADCHF,2013-02-12 06:00:00+00:00,long,1,-1.0599019566490906,0,SAME_BAR_SL,fx_cross
AUDUSD,2013-02-12 10:00:00+00:00,short,4,-1.0549425787965583,1,SL,fx_major
GBPAUD,2013-02-12 10:00:00+00:00,long,1,-1.0386630258973197,4,SL,fx_cross
NZDCHF,2013-02-12 14:00:00+00:00,short,3,-1.0757901143359696,0,SAME_BAR_SL,fx_cross
GBPUSD,2013-02-12 14:00:00+00:00,short,4,2.453660739957718,5,TP,fx_major
AUDCAD,2013-02-12 14:00:00+00:00,short,4,-1.0461867092142012,3,SL,fx_cross
USDJPY,2013-02-12 14:00:00+00:00,short,4,2.4797351011755637,15,TP,fx_major
AUDNZD,2013-02-12 18:00:00+00:00,short,4,-1.0849295238095296,1,SL,fx_cross
GBPAUD,2013-02-13 06:00:00+00:00,long,1,-1.117086053904636,1,SL,fx_cross
EURGBP,2013-02-13 10:00:00+00:00,long,2,2.4600839800995025,25,TP,fx_cross
GBPCAD,2013-02-13 10:00:00+00:00,long,1,-1.0856438001958952,0,SAME_BAR_SL,fx_cross
EURNZD,2013-02-13 10:00:00+00:00,short,3,2.482249710388455,5,TP,fx_cross
GBPCHF,2013-02-13 10:00:00+00:00,long,1,-1.027396694101509,29,SL,fx_cross
GBPNZD,2013-02-13 10:00:00+00:00,long,2,-1.0403859976662788,0,SAME_BAR_SL,fx_cross
NQ,2013-02-13 15:00:00+00:00,long,2,-1.0218627160493827,4,SL,indices
YM,2013-02-13 15:00:00+00:00,long,1,-1.0381182905982906,4,SL,indices
ES,2013-02-13 19:00:00+00:00,long,2,2.480021443298969,24,TP,indices
CL,2013-02-13 19:00:00+00:00,long,1,-1.0157628426395937,10,SL,commodities
EURUSD,2013-02-14 06:00:00+00:00,long,2,-1.084249938167511,1,SL,fx_major
CADCHF,2013-02-14 06:00:00+00:00,short,3,-1.0272520466595976,1,SL,fx_cross
EURAUD,2013-02-14 10:00:00+00:00,long,2,-1.0284621766561513,33,SL,fx_cross
GBPNZD,2013-02-15 02:00:00+00:00,short,4,-1.0214723969722457,3,SL,fx_cross
CHFJPY,2013-02-15 06:00:00+00:00,long,1,2.475480034995626,2,TP,fx_cross
CADJPY,2013-02-15 10:00:00+00:00,short,4,-1.0204675464243382,0,SAME_BAR_SL,fx_cross
GBPUSD,2013-02-15 10:00:00+00:00,short,4,2.4702086538461536,18,TP,fx_major
GBPJPY,2013-02-15 10:00:00+00:00,short,4,-1.0150668965517244,0,SAME_BAR_SL,fx_cross
AUDCHF,2013-02-15 14:00:00+00:00,long,2,-1.08400928176795,2,SL,fx_cross
CADCHF,2013-02-15 14:00:00+00:00,long,1,-1.084339589153655,0,SAME_BAR_SL,fx_cross
NQ,2013-02-15 15:00:00+00:00,long,1,-1.0163509677419356,1,SL,indices
USDJPY,2013-02-17 22:00:00+00:00,short,4,-1.0202648988244365,30,SL,fx_major
AUDJPY,2013-02-17 22:00:00+00:00,short,3,-1.0363702788041642,12,SL,fx_cross
YM,2013-02-18 03:00:00+00:00,short,3,-1.0398685714285714,7,SL,indices
NZDCHF,2013-02-18 06:00:00+00:00,long,1,-1.0334135481396243,11,SL,fx_cross
EURNZD,2013-02-18 06:00:00+00:00,short,4,-1.0271834047764852,11,SL,fx_cross
EURCAD,2013-02-18 18:00:00+00:00,short,3,-1.0245357548240637,7,SL,fx_cross
NZDUSD,2013-02-19 02:00:00+00:00,long,2,2.453889315068493,3,TP,fx_major
AUDCHF,2013-02-19 02:00:00+00:00,short,4,-1.0375233438707405,17,SL,fx_cross
NQ,2013-02-19 11:00:00+00:00,short,3,-1.0225732484076433,2,SL,indices
GBPCAD,2013-02-19 14:00:00+00:00,long,2,-1.026458898971567,4,SL,fx_cross
GBPNZD,2013-02-20 02:00:00+00:00,short,3,2.4738300331548078,17,TP,fx_cross
NZDJPY,2013-02-20 02:00:00+00:00,long,2,-1.0284367532884187,0,SAME_BAR_SL,fx_cross
AUDNZD,2013-02-20 06:00:00+00:00,short,3,-1.0371588700564958,25,SL,fx_cross
EURJPY,2013-02-20 18:00:00+00:00,long,2,-1.009964248496994,4,SL,fx_cross
AUDCAD,2013-02-20 18:00:00+00:00,long,1,-1.0877993393393495,0,SAME_BAR_SL,fx_cross
ES,2013-02-20 19:00:00+00:00,long,1,-1.0235395121951218,3,SL,indices
YM,2013-02-20 19:00:00+00:00,long,2,-1.0338424242424242,0,SAME_BAR_SL,indices
NZDJPY,2013-02-21 06:00:00+00:00,long,1,-1.0323549777117371,3,SL,fx_cross
EURGBP,2013-02-21 06:00:00+00:00,long,1,-1.0668552367879205,0,SAME_BAR_SL,fx_cross
EURCAD,2013-02-21 06:00:00+00:00,long,1,2.468094334673154,13,TP,fx_cross
GBPCAD,2013-02-21 10:00:00+00:00,short,3,-1.0613516813535449,6,SL,fx_cross
GBPCHF,2013-02-21 10:00:00+00:00,short,4,-1.0595764970059898,6,SL,fx_cross
YM,2013-02-21 11:00:00+00:00,short,4,-1.0336557575757577,4,SL,indices
NQ,2013-02-21 19:00:00+00:00,short,4,-1.012563176895307,6,SL,indices
AUDJPY,2013-02-22 02:00:00+00:00,long,2,-1.0163883460715375,10,SL,fx_cross
EURGBP,2013-02-22 02:00:00+00:00,long,2,2.468579941501463,5,TP,fx_cross
GBPJPY,2013-02-22 02:00:00+00:00,short,4,-1.0356902325581396,0,SAME_BAR_SL,fx_cross
ES,2013-02-22 07:00:00+00:00,short,4,-1.028776119402985,2,SL,indices
NZDCAD,2013-02-22 10:00:00+00:00,short,4,-1.063159288068555,0,SAME_BAR_SL,fx_cross
CADCHF,2013-02-22 14:00:00+00:00,long,2,-1.0418940789473694,4,SL,fx_cross
EURNZD,2013-02-22 14:00:00+00:00,short,4,-1.0204781257248896,12,SL,fx_cross
NZDJPY,2013-02-22 14:00:00+00:00,long,2,-1.0145379057765935,7,SL,fx_cross
GBPCHF,2013-02-22 18:00:00+00:00,long,1,-1.0223121769761874,1,SL,fx_cross
EURAUD,2013-02-24 22:00:00+00:00,short,4,-1.0306970376712337,2,SL,fx_cross
CHFJPY,2013-02-24 22:00:00+00:00,short,3,-1.0346768704156475,0,SAME_BAR_SL,fx_cross
AUDCHF,2013-02-25 06:00:00+00:00,long,1,-1.0296654061546981,8,SL,fx_cross
EURAUD,2013-02-25 10:00:00+00:00,short,4,2.4640737387836507,2,TP,fx_cross
AUDUSD,2013-02-25 10:00:00+00:00,short,3,2.421064863387978,2,TP,fx_major
CADJPY,2013-02-25 14:00:00+00:00,long,2,-1.017283468871267,1,SL,fx_cross
CHFJPY,2013-02-25 14:00:00+00:00,long,1,-1.0571040973630805,0,SAME_BAR_SL,fx_cross
EURJPY,2013-02-25 14:00:00+00:00,long,1,-1.058712175379422,0,SAME_BAR_SL,fx_cross
YM,2013-02-25 15:00:00+00:00,long,1,-1.0380389743589744,1,SL,indices
ES,2013-02-25 15:00:00+00:00,long,1,-1.0267911111111112,0,SAME_BAR_SL,indices
CL,2013-02-25 15:00:00+00:00,long,2,-1.038715844155845,0,SAME_BAR_SL,commodities
GBPAUD,2013-02-25 18:00:00+00:00,short,4,-1.0247201075108252,10,SL,fx_cross
CADCHF,2013-02-25 18:00:00+00:00,short,4,-1.0395818973561421,22,SL,fx_cross
CHFJPY,2013-02-25 18:00:00+00:00,long,1,-1.0455614338689736,0,SAME_BAR_SL,fx_cross
AUDUSD,2013-02-25 22:00:00+00:00,long,2,-1.036408700063412,4,SL,fx_major
NZDCHF,2013-02-25 22:00:00+00:00,short,4,-1.0209650674373794,34,SL,fx_cross
USDCHF,2013-02-26 02:00:00+00:00,long,2,2.483866724511931,50,TP,fx_major
GBPCAD,2013-02-26 02:00:00+00:00,short,3,2.475401948746832,50,TP,fx_cross
EURCAD,2013-02-26 06:00:00+00:00,long,2,2.458264622247006,14,TP,fx_cross
CL,2013-02-26 15:00:00+00:00,long,1,-1.0119928744939266,13,SL,commodities
USDCAD,2013-02-26 18:00:00+00:00,long,2,-1.0732204461440358,6,SL,fx_major
AUDNZD,2013-02-26 18:00:00+00:00,short,4,2.389766973058638,1,TP,fx_cross
EURAUD,2013-02-27 10:00:00+00:00,short,3,2.473727909522072,28,TP,fx_cross
YM,2013-02-27 15:00:00+00:00,short,3,-1.0240017112299464,1,SL,indices
AUDNZD,2013-02-27 22:00:00+00:00,long,1,2.4554469632495164,40,TP,fx_cross
USDCAD,2013-02-28 10:00:00+00:00,short,4,-1.056336164786658,1,SL,fx_major
ES,2013-02-28 11:00:00+00:00,short,3,2.4799488659793814,6,TP,indices
NZDCAD,2013-02-28 14:00:00+00:00,short,4,-1.0286200779142944,23,SL,fx_cross
NZDUSD,2013-02-28 18:00:00+00:00,long,2,2.442447082294262,3,TP,fx_major
YM,2013-02-28 19:00:00+00:00,long,1,-1.0207557603686637,0,SAME_BAR_SL,indices
GBPCHF,2013-03-01 06:00:00+00:00,long,2,2.4498659644670058,2,TP,fx_cross
NQ,2013-03-01 07:00:00+00:00,short,3,-1.0083116587677725,12,SL,indices
NZDUSD,2013-03-01 10:00:00+00:00,long,2,-1.057552917705738,1,SL,fx_major
CADCHF,2013-03-01 14:00:00+00:00,short,4,-1.0287023516237406,22,SL,fx_cross
GBPJPY,2013-03-01 14:00:00+00:00,short,3,-1.0207279873217112,7,SL,fx_cross
