Open Time,Close Time,Symbol,Direction,Volume,Open Price,Close Price,P&L,Commission,Swap,Spread,Currency
2026-05-26 17:17:00,2026-05-29 16:52:00,GBP/USD,Buy,0.18,1.34414,1.34643,189.27,0.00,0.00,forex,USD
2026-05-28 05:19:00,2026-06-01 00:01:00,XAG/USD,Buy,50.00,72.65,73.97,66.00,0.00,0.00,forex,USD
2026-05-28 16:40:00,2026-05-29 16:35:00,NZD/USD,Sell,0.23,0.59264,0.59856,-136.16,0.00,0.00,forex,USD
2026-05-29 14:52:00,2026-05-29 16:35:00,EUR/AUD,Buy,0.78,1.62274,1.62178,-53.78,0.00,0.00,forex,USD
